genes,ExonLength,chr,chr_start,chr_end,WT_rep_1,WT_rep_2,WT_rep_3,WT_rep_4,KO_rep_1,KO_rep_2,KO_rep_3,KO_rep_4,DKO_rep_1,DKO_rep_2,DKO_rep_3
0610005C13Rik,3582,7,45567794,45575327,3969,3166,3940,3579,1593,3218,1355,2849,2858,3952,3396
0610007P14Rik,4235,12,85815447,85824550,1315,1165,1272,1016,1486,1724,1560,1600,1081,1434,1620
0610009B22Rik,998,11,51685385,51688874,1114,980,1083,1083,1030,1026,902,1018,1000,1251,1180
0610009E02Rik,1803,2,26445695,26459390,26,32,19,28,13,14,14,17,10,39,24
0610009L18Rik,619,11,120348677,120351190,111,108,160,132,71,106,101,100,106,139,127
0610009O20Rik,2404,18,38250248,38262629,2783,2431,2876,2760,2070,1875,2132,1531,1947,3101,3061
0610010F05Rik,5226,11,23564960,23633639,758,647,691,615,969,787,1160,497,646,819,778
0610010K14Rik,1896,11,70235205,70237914,69,73,56,51,70,78,87,99,44,81,77
0610011F06Rik,1109,17,25875463,25886007,1770,1639,1809,1835,1364,1488,1140,1434,1422,1981,1795
0610012G03Rik,417,16,31948023,31948448,635,635,677,660,636,552,631,780,577,733,673
0610025J13Rik,1121,4,98321397,98331791,11,17,27,15,7,18,9,18,14,23,17
0610030E20Rik,4632,6,72347316,72353158,1470,1431,1450,1396,1145,1082,1364,963,1306,2045,1687
0610031J06Rik,5862,3,88325022,88331313,4907,4668,5116,5057,6677,4690,5363,5239,4354,5730,5932
0610037L13Rik,5633,4,107889812,107899384,913,920,922,948,1199,918,1049,964,860,1171,1056
0610038B21Rik,1687,8,77517055,77523898,20,7,19,12,18,22,19,14,16,14,14
0610040B10Rik,683,5,143329246,143332704,17,34,36,21,22,40,35,34,24,39,44
0610040F04Rik,1734,6,108577038,108660934,49,68,71,72,52,78,41,65,50,86,82
0610040J01Rik,1870,5,63812494,63899619,2140,1752,2035,1879,3243,2679,4069,2566,2055,2367,2456
0610043K17Rik,770,4,101353782,101399181,32,38,44,43,40,43,39,56,44,33,43
1010001B22Rik,589,5,109995510,109996398,29,22,32,16,23,23,14,29,25,41,47
1100001G20Rik,434,11,83746939,83752642,0,1,0,1,32,8,6,10,1,3,4
1110001J03Rik,689,6,38533501,38539449,1692,1560,1497,1297,1090,1384,1071,1247,1103,1565,1713
1110002J07Rik,2236,10,66912488,66920258,15,10,17,4,32,14,14,8,16,22,23
1110002L01Rik,4131,12,3403877,3427011,148,138,155,161,109,104,114,48,133,141,148
1110004E09Rik,1360,16,90925808,90934927,858,806,906,830,937,850,890,874,824,942,997
1110004F10Rik,1495,7,116093300,116105210,1846,1776,1888,1695,2541,2308,2915,2009,1656,2164,2265
1110007C09Rik,804,13,49202950,49216026,671,684,674,608,1071,976,1323,1093,642,902,877
1110008F13Rik,2871,2,156863127,156873563,1047,1061,1163,1174,1078,1074,1055,661,959,1128,1215
1110008L16Rik,4452,12,55299576,55382533,619,707,794,619,675,624,606,482,647,821,847
1110008P14Rik,2694,2,32377096,32381938,316,393,333,305,536,377,594,476,291,389,375
1110012L19Rik,1094,X,70385876,70389417,448,425,471,381,581,523,668,451,398,570,530
1110019D14Rik,1722,6,13871525,14044373,251,215,255,252,164,136,138,144,215,292,213
1110020A21Rik,853,17,84954966,84957710,28,30,32,25,22,28,21,25,23,28,34
1110032A03Rik,5293,9,50762827,50775520,1540,1530,1686,1506,1205,1568,1178,1279,1309,1789,1789
1110032F04Rik,2578,3,68869585,68872163,92,170,153,169,39,7,33,12,90,153,72
1110034G24Rik,2117,2,132686930,132751055,204,192,219,216,227,197,275,241,168,248,252
1110037F02Rik,7138,4,11485957,11550684,1804,1574,1689,1734,1924,1426,2125,1150,1550,2144,1798
1110038B12Rik,1811,17,34950237,34952471,257,228,277,254,679,716,806,818,302,378,352
1110038F14Rik,1010,15,76948538,76950729,430,483,501,466,787,558,778,560,553,741,825
1110046J04Rik,1108,13,33935566,33960181,4,5,1,2,14,9,15,9,7,5,8
1110051M20Rik,5202,2,91275067,91444704,590,606,722,576,741,586,785,579,525,763,796
1110054M08Rik,1603,16,24391611,24393588,175,220,251,224,177,221,151,276,191,304,266
1110057K04Rik,2748,12,8208106,8285758,1723,1405,1452,1683,1347,1094,1247,974,1282,1719,1512
1110058L19Rik,874,1,23995938,24005656,730,635,722,652,623,611,533,632,657,859,865
1110059E24Rik,3067,19,21581201,21652976,582,503,635,529,794,718,803,530,596,792,777
1110059G10Rik,3361,9,122945088,122951000,376,405,444,393,571,510,518,433,388,548,516
1110065P20Rik,1395,4,124849079,124851196,345,394,452,330,407,477,501,501,400,451,428
1190002F15Rik,708,6,134929091,134951718,17,15,13,15,78,23,29,55,25,38,53
1190002N15Rik,3950,9,94517863,94538081,522,885,617,523,615,463,882,343,562,909,774
1190007I07Rik,1197,10,82619850,82623228,297,257,242,291,232,245,204,247,269,309,322
1200007C13Rik,2455,2,167827692,167833646,1,6,4,1,48,28,39,5,5,5,7
1200014J11Rik,8140,11,73047782,73080217,963,898,964,949,1088,1027,1359,670,791,1226,1038
1300002E11Rik,3955,16,21794346,21809037,657,604,661,700,728,696,780,730,552,769,740
1300002K09Rik,9567,4,45848663,45887008,726,777,1033,1112,1007,934,1534,927,715,994,1244
1500002C15Rik,2183,4,155732544,155734727,10,5,11,6,14,13,13,5,8,12,12
1500009L16Rik,1193,10,83722864,83762761,14,29,19,16,176,80,125,86,34,42,33
1500011B03Rik,1746,5,114808195,114813976,136,129,132,104,198,179,202,168,125,191,159
1500011K16Rik,800,2,127791387,127792488,918,814,861,738,747,732,740,831,764,1073,1000
1500012F01Rik,2929,2,167062933,167065862,294,419,354,343,847,998,913,1029,425,679,568
1500015A07Rik,1001,18,61726389,61735917,32,35,40,41,61,45,68,39,25,46,38
1500015O10Rik,902,1,43730601,43742578,33,23,22,27,36,35,49,24,28,33,46
1500026H17Rik,3027,10,89686370,89700866,211,217,204,219,105,145,74,124,181,271,240
1600002H07Rik,2551,17,24215053,24220851,28,28,24,32,36,35,40,21,30,47,44
1600002K03Rik,678,10,80172943,80175146,126,126,116,123,205,125,165,186,137,174,151
1600012H06Rik,3294,17,14943183,14959570,915,934,1034,944,1267,980,1403,759,874,1257,1098
1600014C10Rik,3931,7,38183216,38197568,1868,1619,1746,1863,1650,1552,1391,1229,1501,2190,2271
1600016N20Rik,2079,7,141210042,141214082,55,44,77,80,103,121,131,167,67,122,100
1600020E01Rik,2092,6,86526270,86564442,219,244,214,247,263,302,245,407,204,400,242
1700001G11Rik,1080,14,66295333,66297129,11,10,16,5,7,5,4,13,8,12,10
1700001J03Rik,868,5,146182440,146185304,6,13,7,9,5,9,6,16,14,19,5
1700001L05Rik,2433,15,83357525,83367282,68,63,75,71,60,81,103,44,50,108,81
1700001L19Rik,1808,13,68597438,68614231,8,7,8,6,6,6,5,4,12,11,12
1700001O22Rik,2788,2,30794768,30803661,18,23,37,31,44,39,68,55,42,58,42
1700003E16Rik,2050,6,83156403,83162975,200,214,237,213,183,144,114,107,178,260,238
1700007K13Rik,965,2,28462000,28466332,21,8,11,15,30,9,31,23,14,22,27
1700007L15Rik,737,16,33379854,33380727,53,58,55,70,52,79,57,45,58,76,78
1700008O03Rik,3675,7,44360042,44385820,6,7,7,3,16,4,11,8,7,9,6
1700009J07Rik,1368,10,77893416,77896114,56,64,60,69,45,33,53,64,29,55,65
1700009P17Rik,1774,1,171113917,171126967,124,101,142,124,69,37,44,40,26,35,126
1700010I14Rik,2126,17,8988332,9008319,50,52,68,55,81,64,96,65,68,77,79
1700011H14Rik,1265,14,49226357,49245428,6910,6367,7231,7116,6849,7260,6825,7103,6663,9535,8603
1700016C15Rik,768,1,177729813,177753324,507,445,433,507,1452,949,835,1297,556,553,437
1700017B05Rik,4934,9,57252321,57262599,833,685,788,723,1850,1151,2051,1045,777,1095,894
1700019D03Rik,4330,1,52922323,53020179,49,48,66,35,18,18,10,4,39,50,37
1700019G17Rik,3223,6,85899050,85904884,368,330,447,386,373,449,461,354,348,504,506
1700019L03Rik,1779,2,32777380,32784428,6,13,14,13,41,33,47,29,13,17,20
1700020I14Rik,8306,2,119594296,119607502,5871,5364,5812,6063,5350,5144,6847,3796,4999,7946,6593
1700020L24Rik,1050,11,83437676,83441233,19,25,19,35,33,24,42,30,21,41,26
1700020N01Rik,1136,10,21593144,21622376,8,6,6,10,6,12,3,10,10,13,19
1700021F05Rik,1339,10,43525120,43540994,922,868,962,901,924,711,740,780,884,993,1112
1700021K19Rik,7478,16,32821702,32877766,2025,2079,2048,1956,2095,1664,2541,1539,1793,2553,2126
1700022N22Rik,709,17,25985814,25988469,45,34,44,53,37,37,42,40,37,55,63
1700023L04Rik,907,6,29985328,29993776,3,6,7,6,12,13,8,3,10,14,16
1700024P16Rik,3136,4,104913455,105016863,68,61,69,69,416,310,337,228,135,174,220
1700025G04Rik,11788,1,151852402,152090125,292,248,274,236,798,527,684,355,317,456,400
1700028J19Rik,1245,7,44229932,44236122,323,273,354,234,215,188,187,215,250,394,421
1700029I15Rik,708,2,92382537,92385708,6,8,17,14,21,17,7,37,10,33,14
1700029J07Rik,2740,8,45953605,45975252,94,135,138,157,123,157,137,159,97,156,129
1700030J22Rik,2971,8,116969598,116978943,143,130,123,127,82,54,86,53,105,153,147
1700030K09Rik,2970,8,72443879,72461001,235,235,238,251,306,222,278,223,243,300,271
1700034H15Rik,6099,1,191886129,191907527,25,26,32,37,35,48,43,37,20,52,23
1700034O15Rik,741,6,41684430,41685717,10,7,12,16,24,29,28,32,6,17,9
1700034P13Rik,3051,1,9747647,9791922,56,47,47,43,15,19,22,24,41,56,56
1700037C18Rik,3227,16,3895178,3908689,39,32,37,36,35,42,49,46,34,49,46
1700037H04Rik,2286,2,131146323,131160081,812,724,849,763,1212,1216,1303,1121,718,922,934
1700040L02Rik,1262,10,68430952,68541896,738,656,818,709,396,525,379,534,472,783,932
1700048O20Rik,1642,9,121938134,121947014,11,7,18,12,35,24,14,25,11,24,22
1700049G17Rik,7518,7,27907391,27929460,271,232,282,250,259,175,301,193,215,364,274
1700052N19Rik,8243,10,4432466,4455141,516,470,489,454,593,409,517,414,483,588,556
1700055N04Rik,4179,19,3958644,3972103,124,174,140,178,21,16,13,5,139,222,148
1700056N10Rik,1043,16,17047519,17049111,14,8,8,13,11,8,9,11,8,11,16
1700066M21Rik,3235,1,57377619,57385423,376,352,419,341,443,313,452,338,352,405,391
1700067K01Rik,1957,8,84001501,84004770,82,65,110,73,49,110,45,77,51,80,91
1700086O06Rik,1931,18,38238404,38250565,49,56,67,69,97,98,94,91,72,87,71
1700086P04Rik,1009,4,129050096,129057983,11,18,21,12,16,9,10,16,13,26,18
1700088E04Rik,5292,15,79129348,79141253,130,126,138,130,118,132,119,144,124,136,135
1700101E01Rik,2624,2,28926948,29055066,14,13,17,21,24,30,21,24,15,26,38
1700101I11Rik,884,6,129532093,129533272,73,72,80,68,53,69,35,45,55,102,100
1700102P08Rik,1094,9,108392833,108397763,11,21,14,12,10,12,7,12,12,18,10
1700106J16Rik,1204,11,88294057,88295261,9,12,56,8,4,2,2,3,60,35,18
1700112E06Rik,2714,14,22019711,23056085,212,183,202,116,141,105,118,236,90,282,310
1700112J16Rik,2215,7,67204081,67222458,6,12,18,8,12,17,16,14,5,19,24
1700113A16Rik,983,3,88171559,88177785,115,104,127,128,53,81,60,76,87,140,123
1700123M08Rik,1260,4,11966564,11994280,10,10,24,10,17,29,25,15,11,18,21
1700123O20Rik,1889,14,54686170,54690742,1085,995,1043,1018,1241,1045,1243,1003,987,1232,1264
1810009A15Rik,1444,19,8888852,8890881,19,24,18,33,23,17,17,9,18,23,22
1810010H24Rik,1205,11,107028117,107030443,54,49,58,33,55,93,101,46,32,69,62
1810011H11Rik,1473,14,32785962,32817968,18,16,23,19,222,53,172,54,46,101,67
